name,season,age,state,elim,is_censored,is_male
Drew Christy,San Juan del Sur,25,FL,10,0,1
Kelley Wentworth,San Juan del Sur,28,WA,13,0,0
Dale Wentworth,San Juan del Sur,55,WA,15,0,1
Julie McGee,San Juan del Sur,34,GA,18,1,0
Josh Canfield,San Juan del Sur,32,NY,21,0,1
Jeremy Collins,San Juan del Sur,36,MA,24,0,1
Wes Nale,San Juan del Sur,23,LA,26,0,1
Reed Kelly,San Juan del Sur,31,NY,29,0,1
Alec Christy,San Juan del Sur,22,FL,32,0,1
Jon Misch,San Juan del Sur,26,MI,35,0,1
Baylor Wilson,San Juan del Sur,20,TN,37,0,0
Keith Nale,San Juan del Sur,53,LA,38,0,1
Missy Payne,San Juan del Sur,47,TX,39,1,0
Jaclyn Schultz,San Juan del Sur,25,NV,39,1,0
Natalie Anderson,San Juan del Sur,28,NJ,39,1,0
So Kim,Worlds Apart,31,CA,3,0,0
Vince Sly,Worlds Apart,32,CA,6,0,1
Nina Poersch,Worlds Apart,51,CA,8,0,0
Lindsey Cascaddan,Worlds Apart,24,FL,11,0,0
Max Dawson,Worlds Apart,37,CA,14,0,1
Joaquin Souberbielle,Worlds Apart,27,NY,16,0,1
Kelly Remington,Worlds Apart,44,NY,19,0,0
Hali Ford,Worlds Apart,25,CA,22,0,0
Joe Anglim,Worlds Apart,25,AZ,24,0,1
Jenn Brown,Worlds Apart,22,CA,27,0,0
Shirin Oskooi,Worlds Apart,31,CA,29,0,0
Tyler Fredrickson,Worlds Apart,33,CA,32,0,1
Dan Foley,Worlds Apart,47,ME,35,0,1
Sierra Dawn Thomas,Worlds Apart,27,UT,37,0,0
Rodney Lavoie Jr.,Worlds Apart,24,MA,38,0,1
Carolyn Rivera,Worlds Apart,52,FL,39,1,0
